2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 40|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: 10:37|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000049 (id: 41)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 41|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 2|
2021-04-14|10:15:48|guia_list_new|Mismo checkpoint para todas las piezas|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000049 (id: 41)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 41|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 2|
2021-04-14|10:15:48|guia_list_new|Mismo checkpoint para todas las piezas|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000049 (id: 41)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 41|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 2|
2021-04-14|10:15:48|guia_list_new|Mismo checkpoint para todas las piezas|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000049 (id: 41)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 41|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 2|
2021-04-14|10:15:48|guia_list_new|Mismo checkpoint para todas las piezas|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000050 (id: 42)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 42|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: NR|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000050 (id: 42)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 42|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: CCS|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000050 (id: 42)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 42|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: 2021-03-29|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000050 (id: 42)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 42|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: 10:37|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000154 (id: 134)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 134|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: PU|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000154 (id: 134)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 134|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
2021-04-14|10:15:48|guia_list_new|Tiene una sola pieza, se retorna: CCS|
2021-04-14|10:15:48|guia_list_new|Buscando ultimo checkpoint de la guia: 00000154 (id: 134)|
2021-04-14|10:15:48|guia_list_new|SQL: select *   from v_last_checkpoint_guia_publico where guia_id = 134|
2021-04-14|10:15:48|guia_list_new|La cantidad de checkpoint es: 1|
